codigo_dea,tipo_titularidad,municipio_nombre,direccion_establecimiento,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso
2019-1698,Pública,,"CAMINO DEL SALMORAL S/N, 28981, PARLA   ",,HALL ENTRADA,434333,4455242,
2019-1699,Pública,,"PLAZA FRANCISCO CALES OTERO 1, 28630, VILLA DEL PRADO   ",,PASILLO PPAL.,389186,4458881,
2019-1700,Pública,,"C/ ALONSO CANO 1, 28932, MOSTOLES   ",,HALL ENTRADA,425970,4465063,
2019-1701,Pública,,"PASEO CASTILLA S/N, 28609, VILLANUEVA DE PERALES   ",,HALL ENTRADA,406942,4466975,
2019-1702,Pública,,"C/ JAEN 4, 28935, MOSTOLES   ",,JUNTO SECRETARIA,425649,4464388,
2019-1703,Pública,,"C/ LOS JARDINES 10, 28350, CIEMPOZUELOS   ",,HALL ENTRADA,447147,4445311,
2019-657,Pública,Madrid,CALLE de Princesa de Éboli 21 2 ,28050,CENTRO CULTURAL SAN CHINARRO PLANTA 2ª BIBLIOTECA,444519,4482100,
2019-1156,Pública,Madrid,CALLE del Corregidor Alonso de Tobar 7  ,28030,CEPA MORATALAZ HALL ENTRADA,444876,4472815,
2019-1311,Pública,Brunete,CALLE de los Arcos 7  ,28690,DEPENDENCIAS POLICIALES - VEHICULO POLICIAL ,415183,4473321,24 H
2019-1581,Pública,,"C/ RIO MANZANARES 37, 28913, LEGANES   ",,HALL ENTRADA,434627,4465325,
2019-1582,Pública,,"C/ FELIPE II 9, 28982, PARLA   ",,PASILLO ENTRADA,435168,4454369,
2019-1583,Pública,,"AVDA. DE IRUN S/N, 28830, SAN FERNANDO DE HENARES   ",,PASILLO ENTRADA,455131,4474875,
2019-1584,Pública,,"C/ COMUNIDAD DE MADRID 23, 28944, FUENLABRADA   ",,HALL ENTRADA,432382,4459049,
2019-1585,Pública,,"C/ ADOLFO MARSILLACH 3, 28914, LEGANES   ",,HALL ENTRADA,435474,4465376,
2019-1586,Pública,,"AVDA. CARLOS V 25, 28936, MOSTOLES   ",,HALL ENTRADA,427760,4463477,
2019-1587,Pública,,"AVDA. PABLO IGLESIAS 1, 28942, FUENLABRADA   ",,ZONA BOTIQUIN,429079,4460968,
2019-1588,Pública,,"RDA. DE LAS PROVINCIAS 5, 28011, MADRID   ",,HALL ENTRADA,436955,4473630,
2019-1589,Pública,,"C/ JUAN DE AUSTRIA 2, 28931, MOSTOLES   ",,HALL ENTRADA,427267,4464282,
2019-1590,Pública,,"AVDA. VIA LACTEA C/V AVDA. DE LA ONU, 28936, MOSTOLES   ",,HALL ENTRADA,427181,4462439,
2019-1591,Pública,,"PASEO DEL PRADO 28, 28343, VALDEMORO   ",,HALL ENTRADA,443259,4449284,
2019-1592,Pública,,"C/ MANUEL HERNANDEZ MOMPO 2, 28320, PINTO   ",,JUNTO CONSERJERIA,440470,4456432,
2019-1593,Pública,,"C/ COLOMBIA 28-30, 28945, FUENLABRADA   ",,VESTIBULO PPAL.,433593,4460715,
2019-1594,Pública,,"C/ JAIME I EL CONQUISTADOR 143, 28983, PARLA   ",,HALL ENTRADA,435959,4454197,
2019-1595,Pública,,"C/ CIRCUNVALACION 10, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,460986,4477907,
2019-1596,Pública,,"C/ ARROPE S/N, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,461232,4479340,
2019-1597,Pública,,"C/ PINTOR SOROLLA 19, 28100, ALCOBENDAS   ",,PASILLO DIRECCION,445585,4488030,
2019-1598,Pública,,"C/ DOCTOR CASIMIRO MORCILLO 51, 28100, ALCOBENDAS   ",,HALL ENTRADA,445105,4488330,
2019-1599,Pública,,"C/ FRANCISCO CHICO MENDES 3, 28108, ALCOBENDAS   ",,HALL ENTRADA,444639,4486037,
2019-1600,Pública,,"PLAZA DE CASTILLA 4, 28100, ALCOBENDAS   ",,HALL ENTRADA,446461,4488308,
2019-1601,Pública,,"CTRA. DE BARAJAS 1'2, 28108, ALCOBENDAS   ",,EDIF A. HALL,447568,4487416,
2019-1602,Pública,,"C/ FRANCISCO CHICO MENDES 4, 28108, ALCOBENDAS   ",,HALL ENTRADA,444537,4486145,
2019-1603,Pública,,"C/ ISLA DE CORCEGA 3, 28100, ALCOBENDAS   ",,SALA REPROGRAFIA,445905,4488089,
2019-1604,Pública,,"C/ MIRAFLORES 16, 28100, ALCOBENDAS   ",,PASILLO PPAL.,445925,4488635,
2019-109,Pública,Collado Villalba,CALLE Batalla de Bailén 7  ,28400,BIBLIOTECA MIGUEL HERNÁNDEZ ,414862,4498323,
2019-110,Pública,Collado Villalba,PLAZA Príncipe de España 0 1 ,28400,EDIFICIO POLIFUNCIONAL ,414714,4498034,
2019-111,Pública,Collado Villalba,CALLE Real 26  ,28400,SERVICIO ATENCIÓN AL CIUDADANO(SAC) ,414769,4497997,
2019-277,Pública,"Rozas de Madrid, Las",CALLE Aristóteles 3  ,28232,POLIDEPORTIVO DE ENTREMONTES ,422348,4485167,
2019-688,Pública,Madrid,AVDA de Filipinas 54  ,28003,OFICINAS DE IIDD CANAL DE ISABEL II ,440170,4476958,
2019-689,Pública,Madrid,CALLE del Pelícano 4  ,28025,,438384,4470609,DE 8:00 A 22:00
2019-2018,Pública,,"C/ SANTAFE 4, 28008, MADRID   ",,CONSERJERIA,439627,4473596,
2019-2019,Pública,,"C/ SANTAFE 4, 28008, MADRID   ",,GIMNASIO,439627,4473596,
2019-2020,Pública,,"C/ ALDEANUEVA DE LA VERA 9, 28044, MADRID   ",,PAB. INFANTIL - SALIDA,434114,4470244,
2019-2021,Pública,,"C/ ALDEANUEVA DE LA VERA 9, 28044, MADRID   ",,PABELLON PRIMARIA - ENTRADA,434114,4470244,
2019-2022,Pública,,"CTRA. COLMENAR VIEJO KM 13'5, 28049, MADRID   ",,HALL ENTRADA,441762,4485895,
2019-2023,Pública,,"PLAZA DE LA REMONTA 17, 28039, MADRID   ",,HALL ENTRADA,440788,4479492,
2019-2024,Pública,,"C/ FERMIN CABALLERO 68, 28034, MADRID   ",,JUNTO SECRETARIA,439708,4481570,
2019-1704,Pública,,"AVDA. ESPAÑA 66, 28903, GETAFE   ",,HALL ENTRADA,439037,4463104,
2019-1705,Pública,,"AVDA. JUAN CARLOS I 26, 28905, GETAFE   ",,PABELLON SERVICIOS. HALL,436331,4459885,
2019-1706,Pública,,"C/ RUISEÑOR 5, 28609, SEVILLA LA NUEVA   ",,VESTIBULO,412445,4466704,
2019-1707,Pública,,"C/ DESARROLLO 52, 28935, MOSTOLES   ",,FRENTE CONSERJERIA,426509,4462710,
2019-1708,Pública,,"C/ RIO BIDASOA 3, 28934, MOSTOLES   ",,HALL ENTRADA,426006,4463489,
2019-1709,Pública,,"C/ MAGALLANES S/N, 28903, GETAFE   ",,HALL ENTRADA,431999,4460646,
2019-1710,Pública,,"CRTA. ROZAS DE PUERTO REAL 20, 28640, CADALSO DE LOS VIDRIOS   ",,HALL ENTRADA,376776,4462278,
2019-1711,Pública,,"AVDA. JUAN CARLOS I 12, 28981, PARLA   ",,HALL ENTRADA,434634,4453120,
2019-1712,Pública,,"AVDA. MARIANO GARCIA BENITO 1, 28696, PELAYOS DE LA PRESA   ",,PLANTA 1. HALL,387224,4468861,
2019-1713,Pública,,"C/ JUAN XXIII 1, 28224, POZUELO DE ALARCON   ",,HALL ENTRADA,432116,4477941,
2019-1714,Pública,,"C/ VERACRUZ 34, 28936, MOSTOLES   ",,HALL ENTRADA,427465,4463151,
2019-1715,Pública,,"C/ FUENLABRADA S/N, 28981, PARLA   ",,PASILLO PPAL.,434175,4455274,
2019-1716,Pública,,"AVDA. FUERZAS ARMADAS 6, 28901, GETAFE   ",,HALL ENTRADA,437867,4461317,
2019-1717,Pública,,"C/ HOSPITAL DE SAN JOSE 22, 28901, GETAFE   ",,HALL ENTRADA,438042,4461947,
2019-1718,Pública,,"AVDA. FUERZAS ARMADAS S/N, 28901, GETAFE   ",,HALL ENTRADA,437736,4461253,
2019-1719,Pública,,"C/ NUÑEZ DE BALBOA 10, 28902, GETAFE   ",,HALL ENTRADA,437915,4462474,
2019-1720,Pública,,"C/ ARQUITECTOS 39, 28903, GETAFE   ",,PASILLO DE DIRECCION,438373,4463982,
2019-1721,Pública,,"C/ TITULCIA 24, 28903, GETAFE   ",,HALL ENTRADA,438494,4462680,
2019-1722,Pública,,"AVDA. DE LAS CIUDADES 19, 28903, GETAFE   ",,HALL ENTRADA,438658,4463274,
2019-1723,Pública,,"AVDA. DE LAS CIUDADES S/N, 28903, GETAFE   ",,HALL ENTRADA,438537,4463442,
2019-1724,Pública,,"AVDA. DE LAS CIUDADES 21, 28903, GETAFE   ",,HALL ENTRADA,438764,4463182,
2019-1725,Pública,,"AVDA. DE LOS ARCES S/N, 28903, GETAFE   ",,HALL ENTRADA,433946,4502067,
2019-1726,Pública,,"AVDA.DE LOS ANGELES 26, 28903, GETAFE   ",,HALL ENTRADA,438970,4462333,
2019-1727,Pública,,"C/ BUENAVISTA 25, 28904, GETAFE   ",,HALL ENTRADA,437279,4462033,
2019-543,Pública,Rivas-Vaciamadrid,AVDA Juan Carlos I 0  ,28521,EN SALA DE SEGURIDAD ,456212,4466281,SEGÚN PROGRAMACIÓN DE ACTOS
2019-817,Pública,Madrid,CALLE de Isaac Peral 23 Baja ,28040,PLANTA BAJA - VESTIBULO PRINCIPAL ZONA ASCENSOR Y ESCALERA PRAL. ,438944,4477181,8:30 A 18:00
2019-1312,Pública,Brunete,CALLE de las Eras 0  ,28690,esquina camino Quijorna BASE DE PROTECCION CIVIL - VEHICULO DE PROTECCIÓN CIVIL,414847,4473527,según horario servicio Protección Civil
2019-1757,Pública,,"C/ FRANCISCO LARGO CABALLERO S/N, 28100, ALCOBENDAS   ",,HALL ENTRADA,444528,4489330,
2019-1758,Pública,,"C/ PINOS ALTA 63, 28029, MADRID   ",,HALL ENTRADA,440810,4479937,
2019-1759,Pública,,"C/ VALDESANGIL 25, 28039, MADRID   ",,HALL ENTRADA,439156,4479926,
2019-1760,Pública,,"C/ LOS REYES 4, 28015, MADRID   ",,HALL ENTRADA,439912,4475106,
2019-1761,Pública,,"PARCELA EQ-01 SECTOR 4 DE MIRAMADRID, 28860, PARACUELLOS DE JARA   ",,HALL ENTRADA,442938,4483588,
2019-1605,Pública,,"AVDA. OLIMPICA 16, 28108, ALCOBENDAS   ",,PASILLO PPAL.,446349,4487504,
2019-1606,Pública,,"C/ SEGOVIA 5, 28100, ALCOBENDAS   ",,PABELLON B. ENTRADA,446299,4488372,
2019-1607,Pública,,"C/ NAVAYUNCOSA 22, 28620, ALDEA DEL FRESNO   ",,PASILLO DE CLASES,398060,4464440,
2019-1608,Pública,,"AVDA. NIÑO JESUS 1, 28500, ARGANDA DEL REY   ",,HALL ENTRADA,459400,4462894,
2019-1609,Pública,,"AVDA. INSTITUTO S/N, 28500, ARGANDA DEL REY   ",,HALL ENTRADA,462461,4460028,
2019-1610,Pública,,"C/ TENERIFE S/N, 28500, ARGANDA DEL REY   ",,HALL ENTRADA,459247,4462687,
2019-1611,Pública,,"C/ GRUPO ESCOLAR 1, 28500, ARGANDA DEL REY   ",,HALL ENTRADA,462848,4461392,
2019-1612,Pública,,"C/ MONTERO POTRERO S/N, 28500, ARGANDA DEL REY   ",,HALL ENTRADA,459650,4462713,
2019-1613,Pública,,"C/ CARRANQUE S/N, 28976, BATRES   ",,HALL ENTRADA,421437,4451350,
2019-1614,Pública,,"C/ LA NEVERA S/N, 28723, PEDREZUELA   ",,PASILLO ENTRADA,449264,4510887,
2019-1615,Pública,,"C/ SAN ISIDRO 8, 28710, EL MOLAR   ",,HALL ENTRADA,450833,4509747,
2019-1616,Pública,,"AVDA. VALENCIA 1, 28702, SAN SEBASTIAN DE LOS REYES   ",,PASILLO PPAL.,446608,4489546,
2019-1617,Pública,,"C/ JOCKEY FLORENTINO GONZALEZ 2, 28722, EL VELLON   ",,JUNTO ASEOS,451325,4513329,
2019-1618,Pública,,"C/ SANTA AGUEDA S/N, 28710, EL MOLAR   ",,EDIFICIO PRIMARIA. HALL,450733,4510139,
2019-1619,Pública,,"AVDA. FELIX RODRIGUEZ DE LA FUENTE S/N, 28750, SAN AGUSTIN DE GU   ",,HALL ENTRADA,447552,4503387,
2019-1620,Pública,,"C/ DOCTORES EL MOLAR S/N, 28710, EL MOLAR   ",,CONSERJERIA,450634,4510055,
2019-1621,Pública,,"C/ POLIDEPORTIVO 6, 28723, PEDREZUELA   ",,FRENTE CONSERJERIA,449472,4511058,
2019-1622,Pública,,"C/ FEDERICA MONTSENY 3, 28521, RIVAS-VACIAMADRID   ",,JUNTO CONSERJERIA,456294,4465135,
2019-1623,Pública,,"C/ SAN ANTONIO 6, 28891, VELILLA DE SAN ANTONIO   ",,HALL ENTRADA,458910,4468666,
2019-1624,Pública,,"C/ RAMON Y CAJAL 9, 28830, SAN FERNANDO DE HENARES   ",,HALL ENTRADA,454584,4475220,
2019-1625,Pública,,"PASEO LA CHOPERA 64, 28523, RIVAS-VACIAMADRID   ",,HALL ENTRADA,454649,4468676,
2019-1626,Pública,,"C/ JOAQUIN SOROLLA S/N, 28810, VILLALBILLA   ",,HALL ENTRADA,470275,4477699,
2019-1627,Pública,,"AVDA. COVIBAR 1, 28523, RIVAS-VACIAMADRID   ",,HALL ENTRADA,453101,4467640,
2019-1628,Pública,,"C/ NORUEGA 1, 28521, RIVAS-VACIAMADRID   ",,HALL ENTRADA,456043,4464448,
2019-3,Pública,Collado Villalba,CTRA de La Granja 0  ,28400,EN EL HALL DE ENTRADA CONSEJERÍA DE EDUCACIÓN E INVESTIGACIÓN,415202,4498836,7:30 AM  20:00 PM
2019-843,Pública,Madrid,CALLE de San Martín de Porres 6 BAJA ,28035,AULA DE SALUD PÚBLICA CONSEJERÍA DE SANIDAD,438350,4479957,
2019-844,Pública,Madrid,CALLE del General Oraá 15 BAJA ,28006,HALL DE ENTRADA CONSEJERÍA DE SANIDAD,441825,4476421,
2019-2025,Pública,,"C/ VALENCIA DE DON JUAN 19, 28034, MADRID   ",,CONSERJERIA,440219,4481860,
2019-2026,Pública,,"C/ PRINCIPE DE VERGARA  139, 28002, MADRID   ",,HALL ENTRADA,442445,4477317,
2019-2027,Pública,,"C/ JULIO PALACIOS 35, 28029, MADRID   ",,EDIF. PRIMARIA. HALL,441012,4481612,
2019-2028,Pública,,"C/ ISLAS CIES 11, 28035, MADRID   ",,HALL ENTRADA,439140,4481375,
2019-2029,Pública,,"C/ ORENSE 87, 28020, MADRID   ",,HALL ENTRADA,441143,4479232,
2019-2030,Pública,,"CTRA. COLMENAR VIEJO KM 12'8, 28049, MADRID   ",,RECEPCION,442018,4485065,
2019-1728,Pública,,"VEREDA DEL CAMUERZO 4, 28905, GETAFE   ",,HALL ENTRADA,436861,4461481,
2019-1729,Pública,,"AVDA. ARCAS DEL AGUA 1, 28905, GETAFE   ",,HALL ENTRADA,436896,4460785,
2019-1730,Pública,,"AVDA. VEREDA DEL CAMUERZO S/N, 28905, GETAFE   ",,HALL ENTRADA,436925,4461241,
2019-1731,Pública,,"AVDA. ARCAS DEL AGUA 9, 28905, GETAFE   ",,HALL ENTRADA,436518,4460351,
2019-1732,Pública,,"AVDA. JUAN CARLOS I 7, 28905, GETAFE   ",,HALL ENTRADA,436010,4460475,
2019-1733,Pública,,"AVDA. SALVADOR ALLENDE 10, 28907, GETAFE   ",,HALL ENTRADA,437305,4463597,
2019-1734,Pública,,"C/ CAMPOS DE CASTILLA 4, 28909, GETAFE   ",,HALL ENTRADA,444052,4463904,
2019-1735,Pública,,"C/ JOSE ECHERAGAY 59, 28909, GETAFE   ",,HALL ENTRADA,443369,4463555,
2019-1736,Pública,,"C/ INGENIERIA 2, 28914, LEGANES   ",,HALL ENTRADA,435084,4465477,
2019-1737,Pública,,"CAMINO DE LEGANES 18, 28931, MOSTOLES   ",,HALL ENTRADA,427226,4464022,
2019-1738,Pública,,"PASEO DE GOYA 3, 28931, MOSTOLES   ",,JUNTO DIRECCION,426705,4464354,
2019-1739,Pública,,"C/ FRANCISCO JAVIER SAUQUILLO 26, 28932, MOSTOLES   ",,GIMNASIO,427250,4465127,
2019-1740,Pública,,"C/ SALZILLO 4, 28932, MOSTOLES   ",,HALL ENTRADA,426663,4465254,
2019-1741,Pública,,"C/ PINTOR MURILLO 32, 28933, MOSTOLES   ",,HALL ENTRADA,425860,4464255,
2019-1742,Pública,,"C/ GRAN CAPITAN 19, 28933, MOSTOLES   ",,HALL ENTRADA,425803,4465053,
2019-1743,Pública,,"AVDA. ALCALDE DE MOSTOLES 64, 28933, MOSTOLES   ",,PASILLO PPAL.,425613,4465237,
2019-1744,Pública,,"C/ RIO SIL 60, 28935, MOSTOLES   ",,ENTRADA SECRETARIA,425247,4463031,
2019-1745,Pública,,"C/ EUCALIPTO 37, 28935, MOSTOLES   ",,VESTIBULO,421378,4462898,
2019-1746,Pública,,"AVDA. OLIMPICA 16, 28935, MOSTOLES   ",,VESTIBULO,424900,4464546,
2019-1747,Pública,,"C/ AZORIN 24, 28935, MOSTOLES   ",,PABELLON I. SERVICIOS,425205,4463850,
2019-1748,Pública,,"C/ PINTOR VELAZQUEZ 66, 28935, MOSTOLES   ",,JUNTO SALA PROFESORES,425174,4463689,
2019-1749,Pública,,"C/ LAS ARIZONICAS 20, 28935, MOSTOLES   ",,EDIFICIO A. JUNTO CONSERJERIA,421549,4463161,
2019-1750,Pública,,"C/ HERMANOS GRIMM 3, 28935, MOSTOLES   ",,HALL ENTRADA,424975,4463843,
2019-1751,Pública,,"C/ PINTOR VELAZQUEZ 62, 28935, MOSTOLES   ",,JUNTO ASCENSOR,425084,4463825,
2019-611,Pública,Villalbilla,PLAZA Mayor 2  ,28810,DELTA 1 - COCHE PATRULLA 1202KLD ,474636,4475817,24 H
2019-915,Pública,Alcalá de Henares,CALLE Villamalea 0  ,28805,CIUDAD DEPORTIVA ESPARTALES SALA FITNESS ,469670,4484124,
2019-1762,Pública,,"C/ TERUEL 12, 28815, RIBATEJADA   ",,HALL ENTRADA,466701,4502044,
2019-1763,Pública,,"C/ ALFONSO XIII 5, 28280, EL ESCORIAL   ",,HALL ENTRADA,404855,4492928,
2019-1764,Pública,,"C/ ARCOS DE JALON 34, 28037, MADRID   ",,HALL ENTRADA,447487,4474779,
2019-1765,Pública,,"C/ LA PALMA 46, 28004, MADRID   ",,HALL ENTRADA,440119,4475345,
2019-1766,Pública,,"C/ MIRAFLORES 59, 28100, ALCOBENDAS   ",,HALL ENTRADA,445887,4488611,
2019-1767,Pública,,"C/ GUSTAVO ADOLFO BECQUER 1, 28440, GUADARRAMA   ",,HALL ENTRADA,407937,4502423,
2019-1768,Pública,,"C/ EMBAJADORES 70, 28012, MADRID   ",,CONSERJERIA,440326,4473040,
2019-1769,Pública,,"C/ ESTUDIO 6, 28023, MADRID   ",,HALL ENTRADA,433398,4479204,
2019-1770,Pública,,"AVDA. ATENAS 48B, 28232, ROZAS DE MADRID   ",,EDIF CENTRAL. PASILLO PPAL.,422820,4487067,
2019-1771,Pública,,"C/ ARMENTEROS 46, 28039, MADRID   ",,HALL ENTRADA,439555,4479592,
2019-1772,Pública,,"C/ LA MACARENA 3, 28970, HUMANES DE MADRID   ",,HALL ENTRADA,429525,4456303,
2019-1773,Pública,,"C/ AMANIEL 2, 28015, MADRID   ",,HALL ENTRADA,439851,4475176,
2019-1774,Pública,,"C/ ALMENDROS S/N, 28978, CUBAS DE LA SAGRA   ",,HALL ENTRADA,428156,4449944,
2019-1629,Pública,,"PASEO POZUELO 31, 28510, CAMPO REAL   ",,HALL ENTRADA,468398,4465656,
2019-1630,Pública,,"C/ PLATA S/N, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,460929,4478254,
2019-1631,Pública,,"C/ PALMERAS 10, 28813, TORRES DE LA ALAMEDA   ",,HALL ENTRADA,469440,4471842,
2019-1632,Pública,,"PASEO DE LA CHOPERA 7, 28523, RIVAS-VACIAMADRID   ",,JUNTO DIRECCION,454309,4468519,
2019-1633,Pública,,"C/ MAGDALENA S/N, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,459874,4476570,
2019-1634,Pública,,"C/ DOCTOR GONZALO SIERRA 6, 28840, MEJORADA DEL CAMPO   ",,HALL ENTRADA,458812,4471869,
2019-1635,Pública,,"C/ BERNARDO ATXAGA 13, 28521, RIVAS-VACIAMADRID   ",,VESTIBULO PPAL.,456039,4466620,
2019-1636,Pública,,"PLAZA DE GUERNICA S/N, 28830, SAN FERNANDO DE HENARES   ",,HALL ENTRADA,455537,4474754,
2019-1637,Pública,,"C/ NAZARIO CALONGE S/N, 28830, SAN FERNANDO DE HENARES   ",,HALL ENTRADA,455452,4475258,
2019-1638,Pública,,"C/ LONDRES 44, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,460563,4479094,
2019-1639,Pública,,"AVDA. VIRGEN DE LORETO 38, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,459678,4479518,
2019-1640,Pública,,"C/ FERNANDO TRUEBA 8, 28521, RIVAS-VACIAMADRID   ",,FRENTE SECRETARIA,456172,4466921,
2019-1641,Pública,,"CAMINO DE VALDEMORO 11, 28330, SAN MARTIN DE LA VEGA   ",,HALL ENTRADA,450333,4450657,
2019-1642,Pública,,"AVDA. JUAN GRIS 44, 28840, MEJORADA DEL CAMPO   ",,HALL ENTRADA,458897,4471233,
2019-1643,Pública,,"AVDA. ALGORTA S/N, 28830, SAN FERNANDO DE HENARES   ",,HALL ENTRADA,455473,4474332,
2019-1790,Pública,,"PARAJE DEL PERALEJO S/N, 28430, ALPEDRETE   ",,HALL ENTRADA,413942,4500835,
2019-1791,Pública,,"C/ BULEVAR PICOS DE EUROPA 10, 28701, SAN SEBASTIAN DE LOS REYES   ",,EDIF PRIMARIA. CONSERJERIA,445417,4490045,
2019-1792,Pública,,"AVDA. VALDELAPARRA 92, 28108, ALCOBENDAS   ",,HALL ENTRADA,444024,4488356,
2019-1793,Pública,,"PLAZA SANTIAGO DE CHUCO 1, 28702, SAN SEBASTIAN DE LOS REYES   ",,HALL ENTRADA,446946,4490005,
2019-1794,Pública,,"C/ RASO 6, 28411, MORALZARZAL   ",,ZONA EDUCACION INFANTIL,417797,4503955,
2019-1795,Pública,,"C/ MADRID 53, 28950, MORALEJA DE ENMEDIO   ",,HALL ENTRADA,427339,4457636,
2019-1796,Pública,,"AVDA. LOS ANDES S/N, 28945, FUENLABRADA   ",,FRENTE CONSERJERIA,433210,4460810,
2019-1797,Pública,,"C/ LA PALOMA 45, 28981, PARLA   ",,HALL ENTRADA,433816,4454726,
2019-1798,Pública,,"C/ LEGANES 38, 28981, PARLA   ",,PASILLO PPAL.,433920,4455063,
2019-448,Pública,Madrid,AVDA de Puerta de Hierro S/N  ,28040,COMPLEJO DE LA MONCLOA EDIFICIO DE ACTOS PUBLICOS,437808,4477174,24 HORAS
2019-449,Pública,Madrid,AVDA de Puerta de Hierro S/N  ,28040,COMPLEJO DE LA MONCLOA EDIFICIO ANEXO III GIMNASIO,437650,4477416,24 HORAS
2019-450,Pública,Madrid,AVDA de Puerta de Hierro s/n  ,28040,"COMPLEJO DE LA MONCLOA, EDIFICIO INIA ",437721,4477469,24 HORAS
2019-451,Pública,Madrid,AVDA de Puerta de Hierro S/N  ,28040,COMPLEJO DE LA MONCLOA EDIFICIO SERVICIOS COMUNES ,437788,4477259,24 HORAS
2019-452,Pública,Madrid,AVDA de Puerta de Hierro S/N  ,28040,COMPLEJO DE LA MONCLOA - EDIFICIO DE VICEPRESIDENCIA ,437693,4477299,24 HORAS
2018-419,Pública,Madrid,AVDA de la Capital de España Madrid 7  ,28042,"PALACIO MUNICIPAL DE CONGRESOS. PUERTA ACCESO PEATONAL PRINCIPAL (HALL) MADRID DESTINO CULTURA, TURISMO Y NEGOCIO SA",447745,4479249,
2019-1163,Pública,,"AVENIDA DE TIELMES 20, 28560, CARABAÑA   ",,HALL ENTRADA,480127,4456308,
2019-1164,Pública,Estremera,"CALLE CALLEJÓN DEL PRADO 2, 28595, ESTREMERA   ",,HALL ENTRADA,490842,4448100,
2019-1165,Pública,,"AVENIDA DE LAS NACIONES 45, 28943, FUENLABRADA   ",,PASILLO DIRECCION,431622,4459122,
2019-1166,Pública,,"CALLE CUZCO 17, 28945, FUENLABRADA   ",,"PLANTA BAJA, JUNTO SECRETARIA",433080,4460209,
2019-1167,Pública,,"CALLE ALAVA 11, 28941, FUENLABRADA   ",,HALL ENTRADA,431998,4460643,
2019-1168,Pública,,"CAMINO DEL MOLINO 1, 28943, FUENLABRADA   ",,HALL ENTRADA,430798,4459690,
2019-1169,Pública,,"AVENIDA DE EUROPA 11, 28943, FUENLABRADA   ",,"PLANTA BAJA, JUNTO SECRETARIA",431497,4460079,
2019-1752,Pública,,"C/ RIO MIÑO 7, 28935, MOSTOLES   ",,HALL ENTRADA,425260,4463203,
2019-2033,Pública,,"CTRA. COLMENAR VIEJO KM 15, 28049, MADRID   ",,EDIFICIO CANICAS - HALL,441267,4487155,
2019-2034,Pública,,"CTRA. COLMENAR VIEJO KM 15, 28049, MADRID   ",,EDIFICIO COMBA - COMEDOR,441267,4487155,
2019-2035,Pública,,"C/ ALFREDO MARQUERIE 21, 28034, MADRID   ",,CONSERJERIA,440627,4482065,
2019-2036,Pública,,"C/ CARLOS II S/N, 28022, MADRID   ",,HALL PPAL.,448420,4475447,
2019-2037,Pública,,"C/ CARLOS II S/N, 28022, MADRID   ",,PABELLON 1 - ENTRADA,448420,4475447,
2019-2038,Pública,,"C/ GINZO DE LIMIA 2, 28029, MADRID   ",,HALL ENTRADA,440434,4480870,
2019-2039,Pública,,"PASEO COMANDANTE FORTEA 42, 28008, MADRID   ",,HALL ENTRADA,437876,4475475,
2019-2040,Pública,,"C/ SAN BERNARDO 44, 28015, MADRID   ",,PASILLO PPAL.,440005,4475112,
2019-2042,Pública,,"C/ BRAILLE 19, 28034, MADRID   ",,RECEPCION,441022,4482975,
2019-2043,Pública,,"C/ LA MASO 22, 28034, MADRID   ",,EDIFICIO DIRECCION - HALL,439503,4482554,
2019-2044,Pública,,"C/ JOAQUIN LORENZO 2, 28035, MADRID   ",,HALL ENTRADA,438840,4480457,
2019-2045,Pública,,"C/ FERRAZ 62, 28008, MADRID   ",,HALL ENTRADA,439016,4475528,
2019-2046,Pública,,"C/ PADRE CLARET 8, 28002, MADRID   ",,PASILLO DIRECCION,443659,4477516,
2019-2047,Pública,,"C/ BRAILLE 10, 28034, MADRID   ",,RECEPCION,441231,4483035,
2019-2048,Pública,,"C/ CEUTA 8, 28039, MADRID   ",,HALL ENTRADA,440774,4479295,
2019-175,Pública,Villarejo de Salvanés,PLAZA de España 1  ,28590,EN VEHICULO POLICIAL MATRÍCULA 6398-JSV ,476500,4446533,24 H
2019-811,Pública,Soto del Real,PLAZA de la Villa 10  ,28791,DEPENDENCIAS POLICIA LOCAL SOTO DEL REAL INSTALADO EN VEHICULO POLICIA LOCAL,433614,4511683,24 H excepto dias y horarios sin servicio de policía
2019-833,Pública,Madrid,CALLE de Cincovillas 5 1ª ,28051,JUNTO A ASCENSORES CONSEJERÍA DE SANIDAD,446972,4468743,
2019-1799,Pública,,"C/ CONCEPCION ARENAL 13, 28942, FUENLABRADA   ",,JUNTO CONSERJERIA,428524,4460567,
2019-1800,Pública,,"C/ CUBA C/V HISPANOAMERICA S/N, 28341, VALDEMORO   ",,HALL ENTRADA,441159,4448944,
2019-1801,Pública,,"C/ LIBERTAD 85, 28341, VALDEMORO   ",,HALL ENTRADA,441315,4449085,
2019-1802,Pública,,"C/ CUBA 3, 28341, VALDEMORO   ",,PLANTA 1. HALL,441160,4448927,
